SlNo,Institute
5639,Vardhaman College Of Engineering
5640,Pace Institute Of Technology And Sciences
5641,Ratnapuri Institute Of Technology
5642,Pidathala Rangareddy Polytechnic
5644,MRR College Of B.Pharmacy
5645,Vidya Vikas Institute Of Technology
5646,Sri Mittapalli College Of Engineering
5647,Dr Lankapalli Bullayya College Of Engineering
5648,Sir C.R.Reddy College Of Pharmaceutical Sciences
5649,Swarna Bharathi College Of Engineering
5650,Gokaraju Rangaraju Institute Of Engineering & Technology
5651,Mona College Of Engineering & Technology
5652,Malineni Perumallu Educational Society'S Group Of Institutions
5653,David Memorial College Of Pharmacy
5654,Bonam Venkata Chalamayya Engineering College
5655,SRR Engineering College
5656,St. Mary'S College Of Pharmacy
5657,St.John'S P.G. College
5658,Dhanekula Institute Of Engineering & Technology
5659,Bhimavaram Institute Of Engineering & Technology
5660,SR College of Pharmacy
5661,S. R. College Of Pharmacy
5662,Sahaja School Of Business
5663,Dhanvanthari Institute Of Pharmaceutical Sciences
5664,Siddhartha Institute Of Engineering & Technology
5665,Bharath Educational Society'S Group Of Institutions
5666,Sree Rama Engineering College
5667,Vignan'S Institute Of Information Technology
5668,Ramanandatirtha Engineering College
5669,Manair College Of Computer Science
5670,Vagdevi College Of Pharmacy And Research Centre
,Holy Mary Institute Of Technology
5671,Sri Chaitanya Polytechnic College
5672,Mr A College - Mrvg Pg Center
5673,Trinity College Of Engineering And Technology
5674,Amrita Sai Institute Of Science And Technology
5675,Rousseau Institute Of Management Studies
5676,Pathfinder Engineering College
5677,Stanley College Of Engineering & Technology
5678,Pydah College Of Engineering
5679,Sridevi Women'S Engineering College
5680,Global College Of Pharmacy
5681,Priyadarshini College Of Engineering
5682,Bapatla Polytechnic
5683,K.C.Reddy Institute of Pharmaceutical Sciences
5684,K. C. Reddy Institute Of Pharmaceutical Sciences
5685,G Pulla Reddy Pharmacy College
5686,G Pulla Reddy College Of Pharmacy
5687,Vijaya Pg College
5688,Aryabhata Institute Of Tech. & Science
5689,Arya College Of Pharmacy
5690,Gayatri Vidya Parishad College for Degree & P.G. Courses
5691,G.V.P College For Degree & Pg Courses
5692,Sreenidhi Institute Of Science & Technology
5693,Vagdevi College Of Pharmacy
,Birla institute of technology
5694,BIT Institute Of Technology
,TKR College Of Engineering & Technology
5695,Santhiram College Of Pharmacy
5696,Nalla Narasimha Reddy Education Society'S Group Of Institutions
5697,St. Martins Pg College Of Technology
5698,Harshavardhana P.G. College Of Computer Science
,Azad College Of Engineering And Technology
5699,Ponnur Engineering College
5700,Vidya Jyothi Institute Of Technology
5701,Vignan Institute Of Pharmaceutical Sciences
,Velagapudi Ramakrishna Siddhartha Engineering College
5702,Siddharth Institute Of Engineering & Technology
5703,Sri Venkateshwara College Of Pharmacy
5704,Audisankara College Of Engineering
5705,Modugula Kalavathamma Institute Of Technology
5706,Audisankara Institute Of Technology
5707,Audisankara Audisankara College Of P.G.Studies
5708,GVR & S College Of Engineering & Technology
5709,G.V.R & S College Of Engineering
5710,Srinivasa Institute Of Engineering And Technology
5711,PNC & KR College Of Pg Courses
5712,PNCKR college of PG courses
5713,PNC&KR College Of Pg Courses
5714,Vaagdevi College Of Engineering
5715,Miracle Educational Society Group Of Institutions
5716,Chundi Ranganayakulu Polytechnic
5717,Post Graduate Courses - Mr College
5718,Swarnandhra Institute Of Engineering & Technology
,Omega P.G.College
5719,St. Johns College Of Engineering & Technology
5720,Bharatiya Vidya Bhavan'S Vivekananda College Of Science
,Sri Gnaneswari Research & Technological Academy
,Audisankara College Of Engineering & Technology
5721,DVR College Of Engineering & Technology
5722,VSM College of Engineering
5723,V S M College of Engineering
5724,V.S.M. College Of Engineering
5725,Vestal Institute Of Management And Information Technology
5726,Sri Siddhartha Pharmacy College
5727,PRRM Engineering College
5728,Patnam Rajender Reddy Memorial Engineering College
5729,P R R Memorial Engineering College
5730,Teegala Ram Reddy College Of Pharmacy
5731,Atmakur Engineering College
5732,Avanthi'S Research & Technological Academy
,VITS Women'S Engineering College
,Nizam Institute Of Pharmacy
5733,Sri Datta Sai College
5734,Gokaraju Rangaraju College Of Pharmacy
5735,Anil Neerukonda Institute Of Technology & Sciences
,Nizam Institute Of Engineering & Technology
,Sree Vasavi Kanyaka Parameswari Polytechnic
5736,Kakatiya P.G. College
5737,Vaageswari Engineering College
5738,Gurunanak Institute Of Engineering And Technology
5739,Jagarlamudi Kuppuswamy Choudary College
5740,Alluri Institute Of Management Sciences
5741,Bojjam Narasimhulu Pharmacy College
5743,Geethanjali College Of Engineering And Technology
5744,G.B.R.Degree College
5745,GBR Degree College
5746,GBR B.Ed CollegeWebsiteDirections
5747,G.B.R. Degree College
5748,Princeton College Of Pharmacy
5749,Gokula Krishna College Of Pharmacy
5750,S.V. Arts & Science College
5751,SV Arts & Science College
5752,S.V.Arts & Science College
5753,Sri Viveka Institute Of Technology
5754,Maharaj Vijayaram Gajapathi Raj College Of Engineering
,Aurora'S Pg College
,Pulla Reddy Institute Of Computer Science
,Jyothishmathi Institute Of Technological Sciences
5755,Syamaladevi Institute Of Technology
5756,Kims College Of Engineering
5757,Chaitanya Engineering College
,St. Mary's College of Pharmacy
,St.Marys College Of B.Pharmacy
5758,Sai Krishna Polytechnic
5759,SVVR Educational Society Group Of Institutions
5760,St Xavier’s PG College
5761,St.Xavier'S P G College
5762,Mesco College Of Pharmacy
5764,T D R Polytechnic College
5765,T.D.R Polytechnic
5766,Raos College Of Pharmacy
5768,KGRL College
,Prabhath Institute Of Pharmacy
5769,Vaagdevi Engineering College
5770,Sarojini Institute Of Technology
5771,Laqshya Institute Of Technology & Sciences
,Malineni Lakshmaiah Women'S Engineering College
5772,Siddartha Institute Of Science And Technology
5773,NRI College Of Pharmacy
,KBR Engineering College
5774,Sr International Institute Of Technology
5775,Dr. K V Subba Reddy Institute of Technology
5776,Dr.K.V.Subba Reddy Institute Of Technology
5777,Vijetha Institute Of Technology & Science
5778,Jyothishmathi Institute Of Pharmaceutical Sciences
5779,Vasireddy Venkatadri Institute Of Technology
5780,Godavari Institute Of Engineering & Technology
5781,SKR Engineering College
5782,SKR College Of Engineering And Technology
5783,Kakatiya College Of Computer Sciences
5784,Velaga Nageswara Rao College Of Engineering
5785,Sir C.V. Raman Polytechnic
,Sir C V Raman Polytechnic
5786,Narsimhareddy P.G. College
5787,Nararsaraopeta Institute Of Technology
5788,Green Fort Engineering College
5789,Ideal College Of Arts And Sciences
5790,Deevana College Of Pharmacy
,Chaitanya Post Graduate College
5791,Gandi Institute Of Technology And Management
5792,Narsapur Institute Of Technology
5793,Chalapathi Institute Of Technology
,Sarojini Naidu Vanita Maha Vidyalaya
5794,Pathfinder Institute Of Pharmacy Education & Research
5795,Chaitanya College Of Pharmacy Education And Research
5796,KC Reddy PG College
5797,K.C Reddy P.G College
5798,Sri Venkateswara Engineering College
5799,Gopal Reddy College Of Engineering And Technology
5800,Learners' Land College Of Pharmacy
5801,Godavari Institute Of Engineering And Technology
5802,Chiranjeevi Reddy Group Of Institutions
5803,Rajah RSRK Rangarao College
5804,Rajah R.S.R.K. Ranga Rao College
5805,Brilliant Institute Of Engineering & Technology
5806,RBVRR Womens College
,R.B.V.R.R Womens College
5807,Rao'S Institue Of Computer Science
5808,Avanthi Institute Of Pharmaceutical Sciences
5810,Balaji Institute Of Engineering & Sciences
5811,Idealcollege Of Arts And Sciences
5812,Alexander College
5813,Kakinada Institute Of Engineering & Technology
,Aditya Engineering College
5814,Sree Vahini Institute Of Science And Technology
5815,Sri Venkateswara College Of Engineering And Technology
,AVS College Of Engineering And Technology
5816,St. Mark Educational Institution Society Group of Institution
5817,St.Mark Educational Institution Society Group Of Institution
5818,Nova College Of Engineering & Technology
5819,Vaagdevi College Of Pharmacy
5820,Pragati Mahavidyalaya Pg College
5821,Giet College Of Engineering
5822,Nova Group Of Institutions
5823,Col.D.S.Raju Polytechnic
5824,Nova Institute Of Technological Research
5825,S S R Institute Of Engineering And Technology
5826,Dr. K.V. Subba Reddy Institute Of Pharmacy
,Ellenki College Of Engineering And Technology
5827,Sri Sarathi Institute Of Engineering & Technoology
5828,Musunuri Venkata Rama Rao Institute Of Business Management
5829,Bhaskara Institute Of Pharmacy
5830,Pullareddy Institute Of Pharmacy
5831,Holy Mary Institute Of Technology & Science
5832,Olive P.G. College
5833,Anubose Institute Of Technology
5834,Akula Gopayya College Of Engineering And Technology
5835,Blue Birds College Of Pharmacy
5836,Chaitanya Institute Of Pharmaceutical Sciences
5837,Jagan'S College Of Pharmacy
5838,Vijay Institute Of Technology And Sciences
5839,Vignan'S Institute Of Engineering
5840,Gayathri Institute Of Technology And Sciences
5841,New Science Pg College
5842,Kottam Institute Of Advanced Studies
5843,Indo American Institutions - Technical Campus
5844,Madhira Institute Of Tech. & Science
5845,Bomma Institute Of Informatics
5846,Prasad Engineering College
5847,Aditya Institute Of Technology And Management
5848,Jaya Prakash Narayan Educational Society Group Of Institutions
5849,Mother Theresa Educational Society Group Of Institutions
5850,K.E.S.Polytechnic For Women
5851,KES Polytechnic For Women
5852,K.E.S. Polytechnic For Women
5853,Avanthi Degree & P.G. College
5854,Jayamukhi Institute Of Pharmaceutical Sciences
5855,Universal College Of Engineering And Technology
5856,Avanthi Pg College
5857,Avanthi Degree College
5858,Avanthi Degree & Pg College
5859,Sreekavitha Institute Of Science And Technology
5860,Aarushi Group Of Institution
,Avanthi'S Post Graduate & Research Academy
,Shiva Rama Krishna College Of Engineering & Technology
5861,Safa College Of Engineering & Technology
5862,Raja Mahendra College Of Engineering
5863,Avanthi'S Scientific Technological & Research Academy
5865,KGRL College
,DVR & Dr. HS MIC College of Technology
,Devineni Venkata Ramana & Dr. Hima Sekhar Mic College Of Technology
5867,Sri Sai College Of Engineering & Technology
5868,Ramana Institute Of Technology
5869,GIET School Of Pharmacy
5870,Noble College Of Computer Sciences
5871,Jaya Prakash Narayan College Of Engineering
5872,Apex Engineering College
5873,Sri Sai Aditya Institute Of Science & Technology
5874,Gate Institute Of Technology And Management Sciences
5875,Jayamukhi Institute Of Management Sciences
,Jayamukhi Institute Of Technological Sciences
5876,Lords Institute Of Engineering & Technology
5878,Vignan Pharmacy College
5879,Kite Women'S College Of Professional Engineering Sciences
5880,Ellenki College Of Engineering
5881,Noor College Of Engineering And Technology
5882,Chebrolu Hanumaiah Institute Of Pharmaceutical Sciences
5883,Samata College
5885,Jayamukhi College Of Pharmacy
5886,Sri YVS & Sri BRM Polytechnic
5887,St. Peter'S Institute Of Pharmaceutical Sciences
5888,St.Peter'S Institute Of Pharmaceutical Sciences
5889,Nishitha Degree College
5890,Sir C Ramalinga Reddy Polytechnic
5891,Grahambell Pg College
5892,Malineni Lakshmaiah Engineering College
5893,Sri Sarathi Institute Of Engineering And Technology
5894,Vasavi Institute Of Pharmaceutical Sciences
5895,Sri Padmavathi School Of Pharmacy
5896,Smt. T.K.R. Polytechnic
5897,Maddala Ramakrishnamma Polytechnic
,Holy Mother Pg College
5898,MAK College Of Pharmacy
5899,Sree Chaitanya Institute Of Pharmaceutical Sciences
5900,Indira Institute Of Technology And Sciences
5901,DCRM PG College
5902,Kottam Institute Of Pharmacy
5903,Integral Institute Of Advanced Management
5904,Prof Rama Reddy College Of Engineering & Technology
5905,Prof. Rama Reddy College Of Enginering And Technology
5906,Vision P.G College
5907,Aitam School Of Computer Sciences And Management
5908,Seshachala Venkata Subbaiah Pg College
5909,KSRM College of Engineering
5910,K.S.R.M. College Of Engineering
5911,Sreekavitha Engineering College
5912,Kommuri Pratap Reddy Institute Of Management
5913,Indur Institute Of Engineering & Technology
5914,Seven Hills College Of Pharmacy
,Hindu College Of Pharmacy
5915,Pydah College
5916,Krishnaveni Engineering College
5917,Nova'S Institute Of Technology
5918,Victoria College Of Pharmacy
,Vaagdevi College Of Engineering
5919,Sri Ramakrishna Degree College
5920,Gyaana Saraswathi Institute Of Management
5921,International Institute Of Information Technology
5922,Sri Ramakrishna Degree & Pg College
5923,Vaagdevi Pharmacy College
5924,Gandhi Academy Of Technical Education Polytechnic
5925,Ramaraja Institute Of Technology And Science
5926,Jagan'S College Of Engineering And Technology
5927,Vaagdevi Institute Of Pharmaceutical Sciences
5928,Seshachala Institute Of Engineering & Technology
5929,Hasvita Institute Of Science And Technology
5931,Maheshwara Engineering College
5932,Samskruti College Of Pharmacy
5933,Karuna P.G. College Of Computer Applications
5934,Anurag College Of Engineering
5935,Hasvita Institute Of Engineering And Technology
5936,Dr. Samuel George Institute Of Pharmaceutical Sciences
5937,Hasvita Pg College
5938,Sai Pranavi College Of Pharmacy
5939,Jesus Pg College
5940,Thandra Paparaya Institute Of Science&Technology
5941,Care College Of Pharmacy
5942,Vidya Bharathi Institute Of Technology
5943,Sai Pranavi Pg College
5944,Sir C V Raman College Of Computer Sciences
5945,Duvvuru Ramanamma Women'S Degree College
5946,Swathi Institute Of Technology And Sciences
5947,Sri Ypr College Of Engineering & Technology
5948,Swarna Bharathi Institute Of Science & Technology
5950,JB Institute of Post Graduate Courses
5951,J.B.Institute Of P.G. Courses
5952,Malla Reddy Institute Of Technology
5954,Chaitanya Institute Of Engineering And Technology
5955,Bharat P.G. College
5956,Global Education Centre
5957,Sri Venkata Sai Educational Society Group Of Institutions
5958,Sims College Of Pharmacy
5959,Maheshwara Institute Of Technology
5960,AKRG College of Pharmacy
5961,A.K.R.G College Of Pharmacy
,Kuppam Engineering College
5962,Saln College Of Engineering And Management
5963,Akshaya Bharathi Institute Of Technology
5964,Kothamasu Saraswarathamma & Subbaratnam Women'S Engineering College
5965,All Saints P.G. College
5966,Sindhura Collge Of Engineering & Technology
5967,Holy Mary Institute Of Technology & Science
5968,Mrs AVN College Polytechnic
5969,AVN Polytechnic
,A.V.N.Polytechnic
5970,Ramnath Guljarilal Kedia College Of Commerce
5971,VRK Womens College of Engineering and Technology
5972,Dr VRK Womens College Of Engineering & Technology
5973,Dr. VRK Womens College Of Engineering & Technology
5974,Shadan Institute Of Computer Studies
5975,Prasad Institute Of Pharmaceutical Sciences
5976,Andhra Vidyalaya College
5977,AV College Of Arts
,A V College Of Arts
,Mahathama Gandhi College
5978,NBKR Institute of Science and Technology
5979,N.B.K.R. Institute Of Science & Technology
,KMM Institute of PG Studies
,K M M Institute Of Pg Studies
5980,Shri Vishnu College Of Pharmacy
5981,KMM Institute Of Postgraduate Studies
5982,CM Engineering College
,Vikas College Of Pharmcy
,Methodist College Of Engineering & Technology
5983,Viswa Bharathi Pg College Of Engg. & Mgmt.
5984,Viswa Bharathi Pg College Of Engg. & Mgt.
,Kamala Institute Of Pharmaceutical Sciences
5985,Srinivasa Dipolma In Engineering & Technology
,Kottam Institute Of Pg Studies
5986,KMM Institute of Technology and Science
5987,K M M Institute Of Technology & Science
5988,Kandula Lakshumma Memorial College Of Engineering
5989,MNR College Of Pharmacy
5990,KGRL College Of Pharmacy
5991,Siddhartha Institute Of Pharmaceutical Sciences
,Kakinada Institute Of Technology And Science
5992,Noble Institute Of Science And Technology
5993,Nexus College Of Science And Technology
5994,Matrusri Engineering College
5995,Gayatri College For Pg Courses
,Rajamahendri Institute Of Engineering And Technology
5996,Kakatiya Institute Of Technology & Science
5997,Sree Chaitanya College Of Engineering
5998,Nova College Of Engineering And Technology
5999,Malla Reddy Institute Of Pharmaceutical Sciences
6000,Holy Mary Institute Of Technology & Science
6001,Prathap Narender Reddy College Of Pharmacy
6002,Guru Nanak Intitutie Of Pg Studies
6003,AL- Huda Polytechnic
6004,D.L.Reddy P.G College
6005,D.L.R College
6006,Vishnu Institute Of Technology
6007,Nagarjuna Institute Of Technology & Sciences
6008,St. Joseph'S P.G. College
6009,St.Joseph'S P.G. College
6010,Holy Mary Institute Of Technology & Science
6011,Marconi Institute Of Technology
6012,Best Institute Of Professional Studies
6013,ESC Government Polytechnic
6014,E S C Govt. Polytechnic
,Akula Sreeramulu College Of Engineering And Technology
6015,Sana College Of Pharmacy
6016,Sreeramulu Institute Of Technology
6017,Gandhi Academy Of Technical Education
,Chaitanya Institute Of Science And Technology
6018,Sharada Post Graduate Institute Of Research And Technological Sciences
6020,Scient Institute Of Technology
6021,Government Istitute Of Electronics
6022,Balaji Institute Of Pharmacy
,KSRM College of Engineering
6023,K.S.R.M. College Of Engineering
6024,Balaji Institute Of Pharmaceutical Sciences
6025,Shaaz College Of Engineering & Technology
6026,Sanketika Vidya Parishad Engineering College
6027,Brindavan Institute Of Technology And Science
6028,Sanketika Polytechnic College
6029,CM College of Pharmacy
6030,C M College Of Pharmacy
6031,Vignan Institute Of Pharmaceutical Technology
6032,TGL Gopalsetty Polytechnic
,T.G.L.Gopalsetty Polytechnic
6033,ST Augustine PG College
6034,St.Augustine Pg College
6035,Rajahmundry Engineering College
6036,Malla Reddy College Of Engineering & Technology
6037,Jayamukhi Institute Of Technological Sciences
6038,Pragathi Pharmacy College
,Bhaskar Engineering College
6039,Daita Madhusudana Sastry Sri Venkateswara Hindu College Of Engineering
6040,Nuzvid Polytechnic
,Ravindra & Rajendra Pg College
6041,Malla Reddy College Of Engineering
,Vignana Bharathi Institute Of Technology
6042,JNTUH Institute Of Science And Technology
6043,Greater Hyderabad Institute Of Pharmacy
6044,Sree Chaitanya Institute Of Technological Sciences
6045,Masterji Institute Of Information Technology
6046,KSRM College of Engineering
6047,K.S.R.Memorial College Of Engineering
6048,Sri Aditya Engineering College
6049,Aurora'S Pg College
6050,AQJ College Of Pharmacy
6051,Dr. Y S Rajasekhar Reddy Institute Of Engineering & Technology
6052,Nishitha College Of Engineering & Technology
6053,Malineni Lakshmaiah College Of Pharmacy
6054,Krishna'S Pragati Institute Of Technology
6055,Sree Dattha Group Of Institutions
6056,Quba College Of Engineering & Technology
,JNTUA College Of Engineering
6057,Best Institute Of Professional Studies
6058,Global Group Of Institutions
6059,Noble P.G. College
6060,Sree Chaitanya Pg College
6061,Noble P.G. College
6062,Kamakshi College Of Engineering And Technology
6063,Paladugu Nagaiah Chowdary & Vijai Institute of Engineering & Technology
6064,PNC & Vijai Institute Of Engineering And Technology
6065,Institute Of Advanced Management Education And Entrepreneurship
6066,Bharat Institute Of Technology And Science
6067,Sri Sai Madhavi Institute Of Science & Technology
6068,Pydah College Of Engineering & Technology
6069,Anwarul Uloom College For Computer Studies
6070,Safa College Of Pharmacy
6071,Shiridi Sai Diploma In Engineering & Technology
6072,KJR College Of Pharmacy
6073,Master Institute Of Management Science And Technology
,Loyola Polytechnic
6074,Sri Sivani College Of Engineering
6075,Smt B. Seetha Polytechnic
6076,Smt. B.Seetha Polytechnic
6077,Holy Mother P.G. College
6078,Vijaya College Of Computer Sciences
6079,Naripella Narayana Swamy Vidya College Of P.G. Studies
6080,Government Polytechnic For Women
6082,Ask College Of Technology & Management
6083,Anakapalle Merchants Association Konathala Subrahmanyam & Immedisetty Kanakaraju College Of Technology And Management
6084,Ratan Global Business School
6085,Hindu College Of Management
6086,St. Ann'S Engineering College
,Moghal College Of Engineering & Technology
6087,Anjamma Agi Reddy Engineering College
6088,Sri Vasavi Engineering College
6089,Shadan Institute Of Management Studies
6090,Gurram Balanarsiah Institute Of Pharmacy
6091,Madhira Institute Of Technology & Sciences
,DCRM PG College
6092,Unity PG College
6095,Mithra Institute Of Technology
6096,DCRM Pharmacy College
6097,Government Model Residential Polytechnic
6098,Govt. Model Resedential Polytechnic
6099,Govt.Model Resedential Polytechnic
6100,Symbiosis Institute Of Technology & Science
6101,Narsimhareddy Engineering College
6103,Aurora'S Post Graduate College
6104,Sri Venkateswara Engineering College
6105,Creative Educational Society'S College Of Pharmacy
6106,Mahatma Gandhi College
6107,Raghu Engineering College
6108,Pragathi School Of Information Technology
,Sri Venkateswara College Of Pharmacy
,S Chaavan College of Pharmacy
6109,S.Chaavan College Of Pharmacy
6110,AKRG College of Engineering & Technology
6111,A K R G College
6113,Noble College Of Computer Sciences
6115,Sri .K.S. Raju Institute Of Technology And Sciences
6116,Sri KS Raju Institute of Technology and Sciences
6117,Sri.K.S.Raju Institute Of Technology And Sciences
6118,Emeralds Advanced Institute Of Management Studies
6119,University College Of Engineering
6120,Bandari Srinivas Institute Of Technology
,Badari Institute Of Technology And Sciences
6122,KDR Government Polytechnic
,Jangaon Institute Of Pharmaceutical Sceinces
6124,Sana College Of Business Management
6125,Mother Teresa PG College
,Mother Teresa P.G.College
,Krishna Murhty Institute Of Management
6126,Hyderabad Presidency Pg College
6127,Sujala Bharati Institute Of Technology
6128,Mannan Institute Of Science & Technology
6129,Procadence Institute Of Pharmaceutical Sciences
6130,Sri Krishna Chaitanya College Of Pharmacy
6131,Sri Kalahastiswara Institute Of Information And Management Sciences
6132,University College Of Technology
6133,Murthy Institute Of Technology And Science
,Aditya Institute Of Pg Studies
6134,Madhira College Of Engineering
6135,Raghavendra Institute Of Pharmaceuatical Education & Research
6136,Priyadarshini Institute Of Technology & Science
6137,TRR Engineering College
6138,Islamia College Of Engineering And Technology
6139,Madhira Institute of Technology & Sciences
6140,Madhira Instt. Of Tech. & Sc.
6141,Khammam Institute Of Technology And Sciences
6142,Madhira Institute Of Tech. & Science
6143,Sarada Institute Of Technology And Management
6144,Kavitha Memorial P G College
6145,Icon Institute Of Management Studies
6147,Mohammadiya Institute Of Computer Technology
6148,Bright Institute Of Management
6151,Mohammadiya Institute Of Management
6152,Mohammadiya Institute Of Technology
,Mohammadiya Institute Of Pharmacy
6153,St. Mary'S Group Of Institutions
6154,Koringa College Of Pharmacy
6155,VIF College Of Engineering & Technology
6156,Mentey Padmanabham College Of Engineering & Technology
6157,Ronald Ross P.G. College For Computer Science
6158,Ronald Ross P.G. College Of Management Studies
6161,CKM Arts & Science College
6162,Dhanvanthri College Of Pharmaceutical Sciences
6163,Sri Kalahastiswara Institute Of Information And Management Sciences
6165,G. Pullaiah College of Engineering and Technology
6166,G.Pullaiah College Of Engineering And Technology
6167,Government Polytchnic
6169,Aditya Institute Of Pharmaceutical Sciences & Research
6171,Leela Krushna Babuji Polytechnic
6172,Kite College Of Professional Engineering Sciences
6173,Pendekanti Institute Of Management
6174,Don Bosco Institute Of Technology & Science
6175,Sri Sai Aditya Institute Of Pharmaceutical Sciences & Research
6176,JB Womens Eingineering College
6178,J.B. Womens Eingineering College
,J.B.Womens Eingineering College
6179,Le Magnus School Of Management
6180,Nimra Women'S College Of Engineering
6181,Pydah College Of Engineering And Technology
6182,Vinayaka College Of It & Business Management
6183,Jyothishmathi College Of Pharmacy
6184,Grahambell Pg College
6185,Varadha Reddy College Of Engineering
6186,Jyothishmathi College Of Engineering & Technology
,Nimra College Of Pharmacy
,Kaushik College Of Engineering
6187,Government Institute Of Printing Technology
6189,Aurora'S Business School
6190,Nawab Shah Alam Khan College Of Engineering & Technology
6191,Sanjay Gandhi Memorial Government Polytechnic
6192,Don Bosco PG College
6193,Don Bosco.P.G. College
6194,Saraswathi College Of Pharamceutical Sciences
6195,Saastra College Of Pharmaceutical Education & Research
6196,Veeravalli Vidya Sundar PG College
6197,Veeravalli Vidya Sundar P.G. College
6198,Sree Kavitha College Of Management And Information Technology
6201,Maharaja Ananda Gajapathi Raju Government Polytechnic
6202,Government Institute Of Chemical Engineering
6203,Balaji Institute Of Technology And Science
6204,Srinivasarao College Of Pharmacy
,KKC Institute Of Pg Studies
6205,Chaitanya P.G. College
6206,Bhaskar Pharmacy College
6208,Shree Institute Of Technical Education
,Seshachala Institute Of Technology
6209,SVPG College
6210,SV PG College
6212,S.V. PG College
6214,S.V.PG College
6215,Mallareddy College Of Pharmacy
6220,Nimra College Of Business Management
6221,Jogaiah Institute Of Technology & Sciences
6222,Sri Prakash College Of Engineering
6223,SPR College of Engineering and Technology
6224,S.P.R. College Of Engineering&Technology
6226,Government Polytechnic Nalgonda
,Srm Post Graduate College
,Vivekananda Post Graduate Centre
,Pragna P.G College
6228,Pragna P.G. College
6229,Pragna PG College
6230,Dr BR Ambedkar Government Model Residential Polytechnic
6231,Nethaji Insitute Of Pharmaceutical Sciences
6232,Nagarjuna Institute Of Management Studies
,Little Flower Pg College
6233,KSN Institute Of Technology
6234,K S N Institute Of Technology
6235,Velankanni Institute Of Management Studies
6237,MNR College Of Engineering & Technology
,Nimra Institute Of Engineering And Technology
,Aurobindo College Of Pharmacy
6238,Priyadarshini Pg College
6240,Priyadarshini PG Centre Mca
6241,Priyadarshini PG Centre Mba
6243,Priyadarshini P.G. Centre Mca
6244,Priyadarshini P.G. Centre Mba
,Priyadarshini P.G.Centre Mca
6245,Priyadarshini P.G.Centre Mba
6246,Bandari Srinivas College Of Engineering And Technology
6247,Engineering Staff College Of India
6248,Einstein P.G College
6249,Thandra Paparaya Polytechnic
,Guru Nanak Institute Of Technology
,Tellakula Jalayya Polisetty Somasundaram College
,TJPS College
6250,T.J.P.S College
6251,Vijaya Engineering College
6250,Gokul College Of Pharmacy
6251,Sri Vasavi Institute Of Pharmaceutical Sciences
6252,Government Polytechnic Nellore
6254,Government Model Residential Polytechnic
6255,Lenora College Of Engineering
6256,CMR Engineering College
6257,Sree Sai Kiranmai Institute of Business Management
,S.S.K. Institute Of Bussiness Management
,S.S.K Institute Of Bussiness Management
6258,Ramaraja Institute Of Technology And Science
6261,MRM Institute Of Management
6262,Shadan Institute Of Computer Studies
6263,New India Institute Of Computer Science
6264,Sarada Institute Of Science Technology And Management
6265,MRM College Of Pharmacy
6266,SRM Post Graduate College
6267,AM Reddy Memorial College of Engineering and Technology
,A.M Reddy Memorial College of Engineering and Technology
,A.M. Reddy Memorial College Of Engineering& Technology
6268,A.M.Reddy Memorial College Of Engineering& Technology
6269,Gokul Institute Of Technology And Sciences
6270,Sana College Of Engineering Technology & Research Institute
6271,Sana Engineering College
6272,Sana Polytechnic
6274,Kunda College Of Technology And Management
6275,Sai Ganapathi Polytechnic
6277,Sri Kakatiya Institute Of Pharmaceutical Sciences
,P. Rami Reddy Memorial College Of Pharmacy
,Shri Shirdi Sai Institute Of Science And Engineering
,Jawaharlal Nehru Government Polytechnic
6278,AL-Ameer College Of Pharmacy
6279,Government Polytechnic For Minorities
6280,St Vincent P G College
6281,RCR Institute Of Management & Technology
6282,Deccan School Of Management
6283,Smt. Durgabai Deshmukh Women'S Technical Training Instutie
6284,Loyola Academy Degree & P.G. College
6286,Hyderabad School Of Management
6287,Narayana Pharmacy College
6288,Sarada College Of Pharmaceutical Sciences
6289,Beasant Institute Of Technology And Science
6290,Don Bosco PG College
6291,Don Bosco P.G. College
6293,Don Bosco P.G.College
6294,Government Polytechnic For Women
6296,Government Polytechnic For Women (Minorities)
6297,Srinivasa Pharmaceutical Institute And Center For Research
6298,Samhita College Of Management & Technology
6299,PV Ram Reddy Pg College
6301,Geethanjali College Of Pharmacy
6302,Kakatiya Institute Of Technology And Science
6303,Anwarul Uloom College Of Pharmacy
,St. Stephen'S PG College
,St. Stephen'S P.G. College
6304,St.Peter'S College Of Pharmacy
,Sree Dattha Institute Of Pharmacy
6306,Acharya Nagarjuna University College Of Pharmaceutical Sciences
6307,Mithra Institute Of Management
6308,A.M.Reddy Memorial College Of Pharmacy
6309,Government Polytechnic Koratla
6310,Lakshya Institute Of Management
6311,Anurag Engineering College
6312,SN Murthy Polytechnic College
,S.E.S.-S.N.Murthy Polytechnic
6314,Annie Besant Post Graduate College
6315,Malla Reddy Institute Of Management Sciences
6316,Jagan'S Institute Of Science And Technology
6317,Vidyaniketan Institute Of Technology
6318,Addanki Institute Of Management And Sciences
6319,Gonna Institute Of Information Technology And Sciences
6320,Sreyas Institute Of Engineering And Technology
6321,Mahboobia Panjetan P.G. College
6322,Mahboobia Panjetan PG College
,Sri Sarada College Of Pharmacy
6323,Gayatri Group Of Institutions
6324,JJ College Of Pharmacy
6325,J J College Of Pharmacy
6326,Manair Institute Of Management Studies
6327,Moghal College Of Business Management
6328,Karthikeyan Institute Of Managemnt Sciences
